WaypointType,Year,Basin,Sub-basin,Stream,Section,Index Reach,Lat (dec deg),Long (dec deg),comments
SectionEnds,2019,St Joe River,Ruby Creek,Ruby Creek,Mouth to RM 1.75,N,46.98286,-115.3678,
SectionEnds,2019,St Joe River,Ruby Creek,My Creek,Mouth to RM 1.0,N,46.97119,-115.37609,
SectionEnds,2019,St Joe River,Ruby Creek,Ruby Creek,Mouth to RM 1.75,N,46.962317,-115.395317,
SectionEnds,2019,St Joe River,Ruby Creek,My Creek,Mouth to RM 1.0,N,46.95688,-115.37695,
SectionEnds,2019,St Joe River,Sherlock Creek,Sherlock Creek,Mouth to RM 2.6,N,47.06367,-115.21882,
SectionEnds,2019,St Joe River,Sherlock Creek,Sherlock Creek,Mouth to RM 2.6,N,47.07176,-115.17625,
Redd,2019,St Joe River,Sherlock Creek,Sherlock Creek,Mouth to RM 2.6,N,47.05893,-115.20223,
Redd,2019,St Joe River,Sherlock Creek,Sherlock Creek,Mouth to RM 2.6,N,47.05939,-115.2012,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #2 -North Fork Simmons Creek to Three Lakes Creek,N,47.14771,-115.34626,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #3 - Three Lakes Creek to Forest Service Road 1278,N,47.13567,-115.31619,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #1 - Simmons Creek mouth to North Fork Simmons Creek,N,47.13735,-115.4004,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #2 -North Fork Simmons Creek to Three Lakes Creek,N,47.13567,-115.31619,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #3 - Three Lakes Creek to Forest Service Road 1278,N,47.1231,-115.25152,
SectionEnds,2019,St Joe River,Simmons Creek,Simmons Creek,Section #1 - Simmons Creek mouth to North Fork Simmons Creek,N,47.14771,-115.34626,
SectionEnds,2019,St Joe River,Simmons Creek ,Simmons Creek ,Section #4 - Road 1278 to Washout Creek,N,47.1231,-115.25125,
SectionEnds,2019,St Joe River,Simmons Creek ,Simmons Creek ,Section #4 - Road 1278 to Washout Creek,N,47.110396,-115.240095,
Redd,2008,St Joe River,St Joe River,St Joe River,,Y,47.0092,-115.12778,
